distrito,lat,lon
AYAVIRI,-12.36232695,-76.06122989004342
HUANCANE,-13.6151771,-73.1015589
JULIACA,-15.4932314,-70.1356177
PUNO,-15.0,-70.0
PUTINA,-17.495497,-70.2275597
AZANGARO,-12.91757,-74.2970497
CABANILLAS,-15.826677799999999,-70.64335373217497
CAPACHICA,-15.6420185,-69.8307928
CHUPA,-15.1059765,-69.9865962
ILAVE,-16.086789,-69.6385874
MUNANI,-14.7707724,-69.9557279
NUNOA,-14.4765078,-70.6360628
PALCA,-15.2363854,-70.5974936
PHARA,-14.1522467,-69.6652072
SAN MIGUEL,-6.9768275,-78.9409485
SAN PEDRO,-11.8060528,-77.1891272
SANTA ROSA,-8.5270766,-78.0672625
TIQUILLACA,-15.7973641,-70.1868662
USICAYOS,-14.1249494,-69.9672237
YUNGUYO,-16.2959126,-69.095994
ZEPITA,-16.4971752,-69.1032019
\N,-8.37095335,-74.56539040141065
ABANCAY,-13.7322804,-72.8149939
ACHAYA,-15.2852382,-70.1614836
ACOMAYO,-13.916667,-71.666667
ACORA,-14.1049368,-70.6189213
AJOYANI,-14.2300749,-70.2235728
ALTO DE LA ALIANZA,-17.8003418,-70.27118844752046
ALTO INAMBARI,-14.0401468,-69.29811210699944
ALTO PICHIGUA,-14.7375545,-71.21672059040108
ANANEA,-14.6784404,-69.5352298
ANAPIA,-16.3137957,-68.8528908
ANTAUTA,-14.2997287,-70.2919047
ARAPA,-15.1391169,-70.1095722
AREQUIPA,-16.3988667,-71.5369607
ASILLO,-14.7865915,-70.3540033
ATE,-12.0387281,-76.89687298679642
ATUNCOLLA,-15.6884255,-70.1432128
AYAPATA,-13.7769833,-70.3227082
CABANA,-8.3929196,-78.0090747
CABANILLA,-15.6203163,-70.345873
CALANA,-17.9388968,-70.1862051
CALCA,-12.9397785,-72.058177
CANDARAVE,-17.1276751,-70.2685062
CARACOTO,-15.5678983,-70.1024942
CERRO COLORADO,-11.8658652,-76.8948097
CHACLACAYO,-11.9757399,-76.7698706
CHANCHAMAYO,-11.0147253,-75.0892243
CHECACUPE,-14.0251714,-71.4535654
CHUCUITO,-16.6336027,-69.3018083
CIENEGUILLA,-12.0731669,-76.77707098321132
CIUDAD NUEVA,-17.9836975,-70.2355919
COASA,-13.9864181,-70.0171656
COATA,-15.5706136,-69.9492216
COJATA,-15.0151528,-69.3652199
COMAS,-11.9573015,-77.049757
CONDURIRI,-16.6206097,-69.7082412
CONIMA,-15.4576993,-69.4380307
COPANI,-16.399711,-69.0404249
CORANI,-13.8684934,-70.6046593
CRUCERO,-15.6627322,-73.6384186
CUPI,-14.904858,-70.8662301
CUSCO,-13.5170887,-71.9785356
CUYOCUYO,-14.4700389,-69.5369258
DESAGUADERO,-16.564809,-69.0401545
ESPINAR,-14.8105832,-71.2832861
FLORENCIA DE MORA,-8.0808282,-79.0220668019063
HUACHO,-11.108524,-77.6103295
HUACULLANI,-16.6302449,-69.3222231
HUATA,-15.615277,-69.9715376
HUATASANI,-15.0596198,-69.8014014
HUAYRAPATA,-15.3214488,-69.341349
ICHUNA,-16.1409914,-70.5376837
ILO,-17.5833671,-71.2358866
INAMBARI,-12.9734018,-69.92803970289361
INCHUPALLA,-15.0094132,-69.6825135
ITUATA,-13.7911429,-70.2506257
JACOBO HUNTER,-16.459123599999998,-71.5689478597463
JOSE DOMINGO CHOQUEHUANCA,-15.0335917,-70.3381254
JULI,-16.2132873,-69.4591568
KELLUYO,-16.7270638,-69.2499805
LA VICTORIA,-12.0639584,-77.0300254
LAMPA,-15.416667,-70.583333
LIMA,-12.0621065,-77.0365256
LIMBANI,-14.1483978,-69.69075
LLALLI,-14.9469209,-70.8799195
LLUTA,-16.0156408,-72.0141048
MACARI,-14.7708759,-70.9025677
MACUSANI,-14.1073161,-70.438371
MAJES,-16.324298849999998,-72.28782982398351
MANAZO,-15.8011797,-70.3434523
MARANGANI,-14.3573737,-71.1686419
MOHO,-15.3549442,-69.4058564
MOQUEGUA,-16.833333,-70.916667
NICASIO,-15.2355119,-70.260922
OCONGATE,-13.6270195,-71.3883538
OLLACHEA,-13.7940318,-70.4721998
OLLARAYA,-16.233880149999997,-68.9944047558458
ORURILLO,-14.7274934,-70.5117338
PARATIA,-15.453907,-70.5993792
PATAMBUCO,-14.3597256,-69.6197547
PAUCARCOLLA,-15.7451407,-70.0562522
PAUCARPATA,-16.4210931,-71.47492796291587
PICHACANI,-16.1076198,-70.131438
PILCUYO,-16.1104755,-69.5542716
PISACOMA,-16.9081006,-69.3713066
PLATERIA,-15.9479698,-69.8328681
POMATA,-16.2731488,-69.2921984
POTONI,-14.3899129,-70.104701
PROGRESO,-14.10422735,-72.43610841688582
PUCARA,-11.5941864,-76.0832913
PUEBLO LIBRE,-9.15129475,-77.81835245968571
PUENTE PIEDRA,-11.8667978,-77.0778382
